"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 16 20:02:51 GMT 2022","Fri Sep 16 20:02:52 GMT 2022","113","API Full","API","api.nft.PinUnpinNftTests","api.nft.PinUnpinNftTests","unpinNotExistingNftId","Unpin NFT. NFT not found",""
"passed","Fri Sep 16 20:02:51 GMT 2022","Fri Sep 16 20:02:51 GMT 2022","200","API Full","API","api.nft.PinUnpinNftTests","api.nft.PinUnpinNftTests","pinNotExistingNftId","Pin NFT. NFT not found",""
"passed","Fri Sep 16 20:02:55 GMT 2022","Fri Sep 16 20:02:55 GMT 2022","135","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileInvalidDiscord","Edit profile. Invalid discord",""
"failed","Fri Sep 16 20:02:53 GMT 2022","Fri Sep 16 20:02:53 GMT 2022","504","API Full","API","api.social.GetCollectionOwnersCountTests","api.social.GetCollectionOwnersCountTests","getCollectionOwnersCount","Get collection owners count",""
"passed","Fri Sep 16 20:02:54 GMT 2022","Fri Sep 16 20:02:54 GMT 2022","147","API Full","API","api.social.profile.EditProfileNegativeTests","api.social.profile.EditProfileNegativeTests","editProfileInvalidWebsiteUrl","Edit profile. Invalid website url",""
"passed","Fri Sep 16 20:02:55 GMT 2022","Fri Sep 16 20:02:56 GMT 2022","136","API Full","API","api.social.FollowUnfollowCollection","api.social.FollowUnfollowCollection","followUnauthorized","Follow collection. Unauthorized",""
"passed","Fri Sep 16 20:02:58 GMT 2022","Fri Sep 16 20:02:59 GMT 2022","260","API Full","API","api.social.GetUpdateCollectionSettingsTests","api.social.GetUpdateCollectionSettingsTests","editCollectionSettingsInvalidWebSiteUrl","Edit collection settings. Invalid website url",""
"passed","Fri Sep 16 20:02:55 GMT 2022","Fri Sep 16 20:02:55 GMT 2022","130","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileFacebookLength","Edit profile. Invalid facebook length",""
"failed","Fri Sep 16 20:02:51 GMT 2022","Fri Sep 16 20:02:52 GMT 2022","214","API Full","API","api.social.profile.EditProfileNegativeTests","api.social.profile.EditProfileNegativeTests","editProfileInvalidAvatarUrl","Edit profile. Invalid avatar url",""
"skipped","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:52 GMT 2022","1","API Full","API","api.nft.GetOfferDetailsTests","api.nft.GetOfferDetailsTests","getOfferDetailsNotFound","Get offer details. Offer not found",""
"passed","Fri Sep 16 20:02:53 GMT 2022","Fri Sep 16 20:02:54 GMT 2022","136","API Full","API","api.social.profile.EditProfileNegativeTests","api.social.profile.EditProfileNegativeTests","editProfileInvalidUsername","Edit profile. Invalid username",""
"passed","Fri Sep 16 20:02:53 GMT 2022","Fri Sep 16 20:02:53 GMT 2022","137","API Full","API","api.social.profile.EditProfileNegativeTests","api.social.profile.EditProfileNegativeTests","editProfileInvalidUsername","Edit profile. Invalid username",""
"passed","Fri Sep 16 20:02:50 GMT 2022","Fri Sep 16 20:02:51 GMT 2022","1244","API Full","API","api.nft.search.SearchNftTests","api.nft.search.SearchNftTests","searchFavorites","searchFavorites",""
"passed","Fri Sep 16 20:02:57 GMT 2022","Fri Sep 16 20:02:57 GMT 2022","252","API Full","API","api.social.GetUpdateCollectionSettingsTests","api.social.GetUpdateCollectionSettingsTests","editCollectionSettingsInvalidSnapchat","Edit collection settings. Invalid snapchat",""
"broken","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:52 GMT 2022","157","API Full","API","api.nft.GetNftDetailsTests","api.nft.GetNftDetailsTests","nftDetailsWithOffers","NFT details with offers",""
"passed","Fri Sep 16 20:02:57 GMT 2022","Fri Sep 16 20:02:58 GMT 2022","360","API Full","API","api.social.GetUpdateCollectionSettingsTests","api.social.GetUpdateCollectionSettingsTests","editCollectionSettingsInvalidTelegram","Edit collection settings. Invalid telegram",""
"passed","Fri Sep 16 20:02:54 GMT 2022","Fri Sep 16 20:02:55 GMT 2022","1048","API Full","API","api.social.FollowUnfollowCollection","api.social.FollowUnfollowCollection","followCollection","Follow and unfollow collection",""
"passed","Fri Sep 16 20:02:54 GMT 2022","Fri Sep 16 20:02:55 GMT 2022","342","API Full","API","api.social.GetCollectionRoyaltiesTests","api.social.GetCollectionRoyaltiesTests","getCollectionRoyaltiesUnauthorized","Get collection royalties. Unauthorized",""
"passed","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:53 GMT 2022","323","API Full","API","api.social.profile.EditProfileNegativeTests","api.social.profile.EditProfileNegativeTests","editProfileInvalidEmail","Edit profile. Invalid email",""
"passed","Fri Sep 16 20:02:59 GMT 2022","Fri Sep 16 20:03:00 GMT 2022","265","API Full","API","api.social.GetUpdateCollectionSettingsTests","api.social.GetUpdateCollectionSettingsTests","editCollectionSettingsUnauthorized","Edit collection settings. Unauthorized",""
"failed","Fri Sep 16 20:02:53 GMT 2022","Fri Sep 16 20:02:54 GMT 2022","263","API Full","API","api.social.GetCollectionOwnersCountTests","api.social.GetCollectionOwnersCountTests","getCollectionOwnersCountUnauthorized","Get collection owners count. Unauthorized",""
"passed","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:52 GMT 2022","191","API Full","API","api.nft.search.SearchNftNegativeTests","api.nft.search.SearchNftNegativeTests","searchInvalidGroup","searchInvalidGroup",""
"broken","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:52 GMT 2022","218","API Full","API","api.nft.GetNftDetailsTests","api.nft.GetNftDetailsTests","nftDetailsInvalidContractAddress","NFT details. Invalid contract address",""
"passed","Fri Sep 16 20:02:53 GMT 2022","Fri Sep 16 20:02:53 GMT 2022","192","API Full","API","api.nft.search.SearchNftInCollectionTests","api.nft.search.SearchNftInCollectionTests","searchInCollectionTrending","Search nfts in random collection trending",""
"passed","Fri Sep 16 20:02:58 GMT 2022","Fri Sep 16 20:02:58 GMT 2022","317","API Full","API","api.social.GetUpdateCollectionSettingsTests","api.social.GetUpdateCollectionSettingsTests","editCollectionSettingsInvalidTwitch","Edit collection settings. Invalid twitch",""
"passed","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:52 GMT 2022","140","API Full","API","api.nft.search.SearchNftNegativeTests","api.nft.search.SearchNftNegativeTests","searchInvalidLimit","searchInvalidLimit",""
"passed","Fri Sep 16 20:02:58 GMT 2022","Fri Sep 16 20:02:58 GMT 2022","305","API Full","API","api.social.profile.EditProfileSocialLinksTests","api.social.profile.EditProfileSocialLinksTests","editProfileYoutube","Edit profile youtube",""
"passed","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:52 GMT 2022","233","API Full","API","api.nft.GetNftActiveOffers","api.nft.GetNftActiveOffers","getNftActiveOffersNotFoundNftId","Get NFT active offers. NFT not found",""
"failed","Fri Sep 16 20:02:54 GMT 2022","Fri Sep 16 20:02:54 GMT 2022","504","API Full","API","api.social.GetCollectionsTests","api.social.GetCollectionsTests","getMyCollection","Get collection",""
"passed","Fri Sep 16 20:02:55 GMT 2022","Fri Sep 16 20:02:55 GMT 2022","76","API Full","API","api.social.FollowUnfollowUserTests","api.social.FollowUnfollowUserTests","unfollowUnauthorized","Unfollow user. Unauthorized",""
"passed","Fri Sep 16 20:02:58 GMT 2022","Fri Sep 16 20:02:58 GMT 2022","118","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileInvalidTwitter","Edit profile. Invalid twitter",""
"passed","Fri Sep 16 20:02:55 GMT 2022","Fri Sep 16 20:02:55 GMT 2022","160","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileInvalidDiscord","Edit profile. Invalid discord",""
"skipped","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:52 GMT 2022","4","API Full","API","api.nft.GetOfferDetailsTests","api.nft.GetOfferDetailsTests","getOfferDetailsUnauthorized","Get offer details. Unauthorized",""
"passed","Fri Sep 16 20:02:57 GMT 2022","Fri Sep 16 20:02:57 GMT 2022","324","API Full","API","api.social.profile.EditProfileSocialLinksTests","api.social.profile.EditProfileSocialLinksTests","editProfileSnapchat","Edit profile snapchat",""
"passed","Fri Sep 16 20:02:54 GMT 2022","Fri Sep 16 20:02:55 GMT 2022","645","API Full","API","api.social.GetMyCollectionsTests","api.social.GetMyCollectionsTests","getMyCollections","Get my collections - have no collections",""
"passed","Fri Sep 16 20:02:56 GMT 2022","Fri Sep 16 20:02:56 GMT 2022","304","API Full","API","api.social.GetUpdateCollectionSettingsTests","api.social.GetUpdateCollectionSettingsTests","editCollectionSettingsDescriptionLength","Edit collection settings. Invalid description length",""
"passed","Fri Sep 16 20:02:58 GMT 2022","Fri Sep 16 20:02:58 GMT 2022","112","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileTelegramLength","Edit profile. Invalid telegram length",""
